jira_key,dev_start_ts,review_start_ts,review_end_ts,testing_end_ts,dev_duration_hours,review_duration_hours,testing_duration_hours,exception_reason
BOOKKEEPER-592,2013-03-22T10:04:34Z,,,2013-06-12T16:42:22Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-593,2013-03-22T10:22:08Z,,,2017-10-09T09:40:06Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-594,2013-03-26T18:27:12Z,2016-03-10T20:58:29Z,2016-03-16T03:51:32Z,2016-03-16T03:51:42Z,25922.5214,126.8842,0.0028,
BOOKKEEPER-595,2013-03-27T11:00:17Z,,,2013-04-02T15:39:31Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-596,2013-03-28T18:59:04Z,,,2013-07-26T19:36:10Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-597,2013-04-02T12:04:04Z,,,2013-04-02T14:15:29Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-598,2013-04-04T16:48:51Z,,,2013-04-07T18:11:58Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-599,2013-04-05T04:25:28Z,,,2013-04-07T18:07:32Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-600,2013-04-05T18:37:17Z,,,2013-07-14T22:56:46Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-601,2013-04-05T18:39:02Z,,,2013-07-13T15:24:08Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-602,2013-04-05T19:03:48Z,,,2014-03-10T02:00:08Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-603,2013-04-08T02:39:19Z,,,2013-06-03T11:04:13Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-604,2013-04-08T16:56:29Z,,,2013-08-12T17:01:46Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-605,2013-04-11T19:34:48Z,,,2013-10-14T14:44:09Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-606,2013-04-15T13:11:15Z,,,2016-03-16T04:21:04Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-607,2013-04-22T03:50:37Z,,,2013-07-22T17:30:13Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-608,2013-05-06T12:49:27Z,,,2013-05-09T09:42:09Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-609,2013-05-09T13:47:15Z,,,2017-10-09T09:39:29Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-610,2013-05-10T09:45:22Z,,,2013-07-20T18:06:54Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-611,2013-05-15T15:53:25Z,,,2013-05-31T10:03:44Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-612,2013-05-21T06:18:34Z,2016-07-15T15:48:51Z,2016-10-13T05:51:17Z,2016-10-13T05:51:51Z,27633.5047,2150.0406,0.0094,
BOOKKEEPER-613,2013-05-27T15:55:23Z,,,,,,,missing_review_start;missing_review_end;missing_testing_end
BOOKKEEPER-614,2013-05-31T16:25:10Z,,,2013-10-29T09:10:16Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-615,2013-05-31T16:27:05Z,,,2013-10-30T15:42:27Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-616,2013-06-02T07:00:25Z,,,2016-03-16T04:21:02Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-617,2013-06-03T11:02:09Z,,,2013-06-05T09:49:31Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-618,2013-06-04T15:55:59Z,,,2013-07-13T00:03:14Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-619,2013-06-06T16:34:23Z,,,2013-06-21T16:55:35Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-620,2013-06-07T00:58:41Z,,,2013-06-28T16:00:01Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-621,2013-06-07T09:15:23Z,,,2013-07-20T18:13:39Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-622,2013-06-07T16:38:48Z,,,2017-10-09T09:39:19Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-623,2013-06-12T04:45:20Z,,,2013-06-26T01:27:33Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-624,2013-06-12T06:49:22Z,,,2013-08-20T11:03:32Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-625,2013-06-14T04:45:58Z,,,2013-07-24T12:16:30Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-626,2013-06-14T05:40:38Z,,,2013-06-15T14:58:06Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-627,2013-06-14T19:15:11Z,,,2013-06-15T15:08:51Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-628,2013-06-17T18:49:52Z,2017-10-25T13:54:03Z,2017-11-01T02:43:26Z,2017-11-01T02:43:26Z,38179.0697,156.8231,0.0000,
BOOKKEEPER-629,2013-06-18T04:25:08Z,,,2014-05-12T06:31:34Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-630,2013-06-18T08:12:59Z,,,2014-08-18T21:03:56Z,,,,missing_review_start;missing_review_end
